dimension,weighting,seed,rel_l2,time
1d,adaptive_gradnorm,2,0.010857972576256838,66.83664699800102
1d,adaptive_gradnorm,19,0.015030449462010213,66.8211836190003
1d,adaptive_gradnorm,99,0.009438187371388006,67.30722727000102
1d,adaptive_gradnorm,123,0.0169823571307932,66.44431324000107
1d,adaptive_gradnorm,200,0.011971035834254021,66.77501805200154
1d,adaptive_gradnorm,311,0.013674315244842467,66.99459194699921
1d,adaptive_gradnorm,482,0.022354235682428513,67.93881130099908
1d,adaptive_gradnorm,612,0.00923214998295199,67.39754413500123
1d,adaptive_gradnorm,777,0.006497761558109489,66.5517381160007
1d,adaptive_gradnorm,6000,0.014396250129850336,67.47289774899946
1d,equal,2,0.11211937038211799,65.95702741100104
1d,equal,19,0.09706901363699137,67.02928617300131
1d,equal,99,0.1642282927070885,66.35310879600001
1d,equal,123,0.31492502033649267,66.72344295900075
1d,equal,200,0.09452466459608681,66.6267755429999
1d,equal,311,0.13356955964421297,66.36129040199921
1d,equal,482,0.2504663141029935,66.65742388900071
1d,equal,612,0.12559506217677882,66.507826776
1d,equal,777,0.177181175219504,67.52550596400033
1d,equal,6000,0.09646441407611284,68.64696801299942
2d,adaptive_gradnorm,2,0.025228446937213298,218.1099652189987
2d,adaptive_gradnorm,19,0.016054914765367037,217.98143580299984
2d,adaptive_gradnorm,99,0.019319993931451843,221.74636377599927
2d,adaptive_gradnorm,123,0.013360649263349829,220.01268439399973
2d,adaptive_gradnorm,200,0.043991492363650214,218.97573234899937
2d,adaptive_gradnorm,311,0.029713584346233366,218.6351214389997
2d,adaptive_gradnorm,482,0.06190450848646301,217.58542555999884
2d,adaptive_gradnorm,612,0.02359886289770712,217.76227694800036
2d,adaptive_gradnorm,777,0.01420333823458697,218.63609241099948
2d,adaptive_gradnorm,6000,0.03542009106131607,218.00286651699935
2d,equal,2,0.09843803559438166,212.20224838600006
2d,equal,19,0.16255895655339028,214.59148059799918
2d,equal,99,0.1810250819547077,214.55872339599955
2d,equal,123,0.2703437122675755,215.93646643699867
2d,equal,200,0.19522477354787002,214.08658809200097
2d,equal,311,0.1679056159016294,214.5163356890007
2d,equal,482,0.17048421896204682,215.54424956799994
2d,equal,612,0.10761153338211638,219.65593036099926
2d,equal,777,0.13904272619260347,220.107089051
2d,equal,6000,0.15172216204517713,219.49407423199955
3d,adaptive_gradnorm,2,0.07022986430066035,897.3957468690005
3d,adaptive_gradnorm,19,0.0657803677094669,897.0687653220011
3d,adaptive_gradnorm,99,0.11926862958591164,896.3497082360009
3d,adaptive_gradnorm,123,0.043869671897868424,896.6721303490012
3d,adaptive_gradnorm,200,0.06527971777984883,896.9193761780007
3d,adaptive_gradnorm,311,0.06791792670320639,896.8715101119997
3d,adaptive_gradnorm,482,0.11970725600819188,896.2743838979986
3d,adaptive_gradnorm,612,0.05061738987782976,896.7026777770006
3d,adaptive_gradnorm,777,0.05084329649319715,895.0611328930027
3d,adaptive_gradnorm,6000,0.07282064465879452,895.2707295370019
3d,equal,2,0.2928331612885479,863.7359721409994
3d,equal,19,0.5775872820317517,863.1004484379991
3d,equal,99,0.3063627366660631,862.9585605290013
3d,equal,123,0.5065413342978822,864.1841890729993
3d,equal,200,0.27082670090932565,862.8266683750007
3d,equal,311,0.40497175475436703,863.0523741409997
3d,equal,482,0.37523354556246086,862.4757552039991
3d,equal,612,0.1928084481506698,861.5237561760005
3d,equal,777,0.6256732132388314,864.8861353920001
3d,equal,6000,0.5271580852403982,861.630869274999
